"horas_luz","temperatura","humedad","humedad_suelo","etiqueta"
0.19,0.84,0.62,0.6,14
0.54,0.84,0.62,0.6,17
0.38,0.84,0.62,0.6,14
0.26,0.84,0.62,0.6,14
0.16,0.84,0.63,0.6,14
0.15,0.84,0.65,0.6,14
0.58,0.85,0.65,0.59,17
0.27,0.84,0.64,0.6,14
0.38,0.84,0.63,0.6,14
0.44,0.84,0.63,0.6,14
0.78,0.83,0.63,0.6,17
0.78,0.84,0.63,0.6,17
0.27,0.84,0.62,0.59,14
0.7,0.84,0.62,0.6,17
0.61,0.84,0.62,0.6,17
0.33,0.84,0.62,0.6,14
0.02,0.83,0.61,0.6,14
0.66,0.83,0.61,0.6,17
0.61,0.83,0.61,0.6,17
0.55,0.83,0.61,0.6,17
0.49,0.84,0.61,0.6,14
0.52,0.83,0.61,0.6,17
0.3,0.83,0.61,0.59,14
0.46,0.83,0.61,0.59,14
0.7,0.84,0.61,0.6,17
0.41,0.83,0.61,0.6,14
0.53,0.84,0.62,0.6,17
0.69,0.84,0.62,0.6,17
0.2,0.83,0.61,0.6,14
0.19,0.83,0.61,0.59,14
0.67,0.84,0.62,0.6,17
0.54,0.83,0.62,0.6,17
0.44,0.84,0.62,0.6,14
0.5,0.84,0.63,0.6,14
0.34,0.84,0.62,0.6,14
0.09,0.84,0.62,0.6,14
0.25,0.84,0.63,0.6,14
0.55,0.84,0.62,0.6,17
0.3,0.84,0.63,0.6,14
0.57,0.84,0.63,0.6,17
0.26,0.84,0.64,0.6,14
0.14,0.84,0.64,0.6,14
0.64,0.83,0.64,0.6,17
0.72,0.84,0.63,0.6,17
0.48,0.84,0.63,0.6,14
0.69,0.84,0.63,0.6,17
0.68,0.84,0.65,0.6,17
0.11,0.84,0.63,0.6,14
0.61,0.84,0.63,0.6,17
0.54,0.84,0.63,0.6,17
0.47,0.84,0.62,0.6,14
0.68,0.84,0.62,0.6,17
0.2,0.84,0.62,0.6,14
0.29,0.84,0.63,0.6,14
0.41,0.84,0.64,0.6,14
0.6,0.84,0.64,0.6,17
0.01,0.84,0.63,0.61,14
0.08,0.84,0.63,0.6,14
0.18,0.84,0.63,0.6,14
0.34,0.84,0.63,0.6,14
0.71,0.84,0.63,0.61,17
0.78,0.84,0.62,0.61,17
0.77,0.84,0.63,0.6,17
0.73,0.84,0.63,0.6,17
0.1,0.84,0.62,0.61,14
0.29,0.84,0.62,0.6,14
0.17,0.84,0.63,0.6,14
0.12,0.84,0.63,0.61,14
0.54,0.84,0.63,0.61,17
0.02,0.84,0.64,0.6,14
0.07,0.84,0.64,0.6,14
0.48,0.84,0.64,0.61,14
0.61,0.84,0.63,0.61,17
0.65,0.84,0.63,0.61,17
0.41,0.84,0.63,0.61,14
0.32,0.84,0.63,0.6,14
0.33,0.84,0.63,0.61,14
0.66,0.69,0.89,0.62,19
0.62,0.67,0.88,0.64,19
0.22,0.67,0.88,0.65,8
0.72,0.67,0.89,0.65,19
0.47,0.67,0.9,0.65,8
0.03,0.68,0.89,0.65,8
0.52,0.67,0.88,0.65,19
0.21,0.67,0.88,0.65,8
0.59,0.68,0.87,0.65,19
0.35,0.67,0.87,0.65,8
0.64,0.67,0.87,0.65,19
0.67,0.67,0.87,0.64,19
0.03,0.68,0.88,0.64,8
0.56,0.68,0.88,0.64,19
0.33,0.68,0.89,0.64,8
0.58,0.68,0.89,0.64,19
0.62,0.68,0.9,0.64,19
0.06,0.69,0.9,0.64,8
0,0.69,0.89,0.63,8
0.69,0.69,0.88,0.63,19
0.65,0.69,0.86,0.63,19
0.34,0.69,0.86,0.63,8
0.77,0.68,0.85,0.63,19
0.09,0.69,0.85,0.63,8
0.67,0.69,0.84,0.63,19
0.26,0.69,0.82,0.62,8
0.62,0.68,0.8,0.62,19
0.52,0.69,0.81,0.62,19
0.64,0.69,0.79,0.62,19
0.69,0.69,0.79,0.62,19
0.64,0.69,0.8,0.62,19
0.43,0.69,0.81,0.62,8
0,0.69,0.78,0.62,8
0.13,0.7,0.79,0.62,8
0.55,0.69,0.8,0.61,19
0.02,0.7,0.8,0.62,8
0.06,0.69,0.81,0.61,8
0.33,0.7,0.81,0.61,8
0.11,0.7,0.81,0.61,8
0.65,0.7,0.82,0.61,19
0.56,0.7,0.82,0.61,19
0.67,0.7,0.82,0.61,19
0.09,0.7,0.82,0.61,8
0.21,0.7,0.81,0.61,8
0.19,0.7,0.8,0.61,8
0.38,0.7,0.79,0.61,8
0.38,0.7,0.8,0.61,8
0.52,0.71,0.8,0.6,19
0.04,0.71,0.79,0.61,8
0.68,0.71,0.81,0.61,19
0.21,0.71,0.78,0.61,8
0.62,0.71,0.79,0.61,19
0.38,0.72,0.8,0.61,8
0.66,0.71,0.79,0.6,19
0.37,0.71,0.78,0.61,8
0.54,0.71,0.78,0.61,19
0.3,0.71,0.78,0.61,8
0.26,0.72,0.77,0.61,8
0.6,0.71,0.75,0.61,19
0.34,0.71,0.75,0.6,8
0.62,0.71,0.74,0.61,19
0.25,0.72,0.74,0.61,8
0.62,0.72,0.74,0.61,19
0.73,0.72,0.74,0.61,19
0.38,0.72,0.74,0.61,8
0.53,0.72,0.73,0.6,19
0.79,0.72,0.74,0.6,19
0.59,0.72,0.73,0.6,19
0.68,0.72,0.73,0.61,19
0.79,0.72,0.72,0.61,19
0.15,0.72,0.74,0.6,8
0.67,0.73,0.75,0.6,19
0.28,0.73,0.74,0.6,8
0.54,0.73,0.74,0.6,19
0.58,0.73,0.74,0.61,19
0.64,0.73,0.73,0.6,19
0.74,0.73,0.73,0.6,19
0.17,0.73,0.72,0.6,8
0.53,0.73,0.73,0.6,19
0.65,0.74,0.73,0.6,17
0.52,0.74,0.73,0.6,17
0.74,0.74,0.73,0.6,17
0.48,0.74,0.73,0.61,14
0.68,0.74,0.73,0.6,17
0.08,0.74,0.73,0.6,14
0.6,0.74,0.72,0.6,17
0.58,0.74,0.72,0.6,17
0.1,0.74,0.71,0.6,14
0.46,0.74,0.71,0.61,14
0.1,0.74,0.71,0.61,14
0.3,0.74,0.7,0.61,14
0.42,0.74,0.7,0.61,14
0.66,0.74,0.7,0.61,17
0.22,0.74,0.71,0.61,14
0.56,0.74,0.7,0.6,17
0.64,0.75,0.7,0.6,17
0.03,0.75,0.7,0.6,14
0.54,0.75,0.69,0.6,17
0.41,0.75,0.69,0.6,14
0.15,0.75,0.7,0.61,14
0.57,0.75,0.71,0.6,17
0.47,0.75,0.73,0.61,14
0.36,0.76,0.73,0.61,14
0.58,0.76,0.73,0.6,17
0.76,0.75,0.73,0.61,17
0.51,0.76,0.73,0.61,17
0.33,0.76,0.72,0.61,14
0.66,0.76,0.72,0.61,17
0.23,0.76,0.71,0.61,14
0.67,0.75,0.7,0.6,17
0.53,0.76,0.7,0.61,17
0.69,0.76,0.69,0.6,17
0.71,0.76,0.69,0.6,17
0.19,0.76,0.69,0.59,14
0.21,0.76,0.68,0.6,14
0.37,0.76,0.69,0.6,14
0.43,0.76,0.69,0.61,14
0.64,0.76,0.68,0.61,17
0.61,0.76,0.68,0.6,17
0.1,0.76,0.69,0.61,14
0.61,0.76,0.69,0.61,17
0.78,0.76,0.69,0.61,17
0.57,0.76,0.69,0.61,17
0.4,0.76,0.68,0.61,14
0.69,0.76,0.68,0.6,17
0.33,0.76,0.69,0.61,14
0.22,0.77,0.7,0.61,14
0.04,0.77,0.7,0.61,14
0.7,0.77,0.7,0.61,17
0.73,0.77,0.71,0.61,17
0.09,0.77,0.7,0.61,14
0.45,0.77,0.68,0.61,14
0.2,0.77,0.68,0.61,14
0.36,0.77,0.68,0.61,14
0.33,0.77,0.68,0.61,14
0.6,0.77,0.68,0.61,17
0.03,0.77,0.68,0.6,14
0.63,0.77,0.67,0.59,17
0.64,0.77,0.66,0.61,17
0.36,0.77,0.66,0.58,14
0.49,0.77,0.62,0.6,14
0.28,0.77,0.65,0.57,14
0.32,0.78,0.65,0.59,14
0.77,0.77,0.66,0.59,17
0.76,0.77,0.66,0.6,17
0.74,0.77,0.66,0.59,17
0.61,0.77,0.65,0.61,17
0.22,0.77,0.65,0.6,14
0.74,0.77,0.66,0.6,17
0.14,0.78,0.66,0.6,14
0.16,0.78,0.66,0.6,14
0.64,0.78,0.66,0.6,17
0.78,0.78,0.66,0.61,17
0.47,0.78,0.67,0.61,14
0.33,0.78,0.67,0.6,14
0.62,0.78,0.66,0.57,17
0.04,0.78,0.66,0.62,14
0.3,0.78,0.65,0.62,14
0.06,0.78,0.65,0.62,14
0.58,0.78,0.64,0.62,17
0.68,0.78,0.64,0.62,17
0.57,0.78,0.64,0.61,17
0.55,0.78,0.65,0.62,17
0.5,0.78,0.67,0.62,14
0.6,0.78,0.67,0.62,17
0.59,0.78,0.68,0.62,17
0.55,0.79,0.69,0.62,17
0.61,0.78,0.69,0.61,17
0.53,0.79,0.69,0.62,17
0.48,0.79,0.68,0.62,14
0.68,0.79,0.68,0.62,17
0.01,0.78,0.67,0.62,14
0.58,0.78,0.66,0.62,17
0.5,0.78,0.66,0.61,17
0.13,0.79,0.66,0.62,14
0.01,0.79,0.66,0.61,14
0.55,0.79,0.66,0.62,17
0.77,0.79,0.67,0.62,17
0.57,0.79,0.67,0.62,17
0.18,0.79,0.68,0.62,14
0.64,0.79,0.69,0.62,17
0.28,0.79,0.69,0.62,14
0.16,0.79,0.69,0.62,14
0.01,0.79,0.69,0.62,14
0.52,0.79,0.69,0.62,17
0.69,0.79,0.69,0.62,17
0.32,0.79,0.69,0.62,14
0.19,0.8,0.68,0.62,14
0.72,0.79,0.69,0.62,17
0.57,0.8,0.68,0.62,17
0.54,0.8,0.66,0.62,17
0.61,0.79,0.65,0.62,17
0.72,0.8,0.66,0.62,17
0.64,0.8,0.67,0.62,17
0.65,0.8,0.67,0.62,17
0.54,0.8,0.68,0.62,17
0,0.8,0.68,0.62,14
0.62,0.8,0.68,0.62,17
0.69,0.8,0.69,0.62,17
0.04,0.8,0.68,0.63,14
0.6,0.8,0.68,0.63,17
0.35,0.8,0.69,0.63,14
0.16,0.8,0.7,0.63,14
0.05,0.8,0.69,0.63,14
0.4,0.8,0.69,0.62,14
0.74,0.8,0.69,0.63,17
0.6,0.8,0.7,0.63,17
0.54,0.8,0.7,0.63,17
0.51,0.8,0.71,0.63,17
0.11,0.8,0.69,0.63,14
0.6,0.8,0.69,0.63,17
0.52,0.8,0.69,0.63,17
0.73,0.8,0.69,0.63,17
0.51,0.8,0.68,0.63,17
0.78,0.8,0.68,0.63,17
0.79,0.8,0.68,0.62,17
0.76,0.81,0.69,0.63,17
0.03,0.8,0.7,0.62,14
0.26,0.8,0.7,0.63,14
0.61,0.8,0.7,0.63,17
0.66,0.81,0.7,0.63,17
0.56,0.8,0.69,0.63,17
0.22,0.8,0.69,0.63,14
0.15,0.8,0.69,0.62,14
0.57,0.81,0.7,0.63,17
0.17,0.81,0.7,0.63,14
0.1,0.81,0.69,0.63,14
0.26,0.8,0.69,0.63,14
0.47,0.8,0.69,0.63,14
0.55,0.81,0.68,0.62,17
0.44,0.81,0.68,0.63,14
0.79,0.81,0.68,0.63,17
0.4,0.81,0.67,0.63,14
0.01,0.81,0.66,0.63,14
0.6,0.8,0.65,0.63,17
0.41,0.81,0.66,0.62,14
0.66,0.8,0.65,0.63,17
0.01,0.81,0.65,0.63,14
0.64,0.8,0.64,0.63,17
0.12,0.81,0.65,0.63,14
0.06,0.81,0.67,0.62,14
0.5,0.81,0.66,0.63,17
0.64,0.81,0.66,0.63,17
0.44,0.81,0.66,0.63,14
0,0.81,0.65,0.63,14
0.57,0.81,0.64,0.63,17
0.36,0.8,0.65,0.63,14
0.63,0.81,0.66,0.63,17
0.07,0.81,0.67,0.62,14
0.69,0.81,0.66,0.61,17
0.19,0.81,0.66,0.62,14
0.01,0.81,0.67,0.63,14
0.62,0.81,0.66,0.62,17
0.73,0.81,0.66,0.6,17
0.44,0.81,0.66,0.62,14
0.07,0.81,0.66,0.6,14
0.5,0.81,0.62,0.59,14
0.72,0.81,0.65,0.62,17
0.71,0.81,0.67,0.62,17
0.63,0.81,0.67,0.63,17
0.73,0.81,0.67,0.61,17
0.53,0.81,0.66,0.58,17
0.68,0.81,0.67,0.62,17
0.31,0.81,0.66,0.62,14
0.61,0.81,0.67,0.62,17
0.28,0.81,0.67,0.61,14
0.2,0.81,0.66,0.63,14
0.09,0.81,0.66,0.63,14
0.36,0.81,0.66,0.62,14
0.08,0.81,0.67,0.62,14
0.17,0.81,0.67,0.61,14
0.67,0.81,0.66,0.61,17
0.74,0.79,0.69,0.61,17
0.49,0.79,0.69,0.62,14
0.18,0.79,0.7,0.62,14
0.58,0.79,0.71,0.62,17
0.75,0.79,0.71,0.63,17
0.59,0.79,0.69,0.63,17
0.15,0.79,0.69,0.63,14
0.56,0.79,0.68,0.63,17
0.36,0.79,0.68,0.63,14
0.12,0.79,0.67,0.63,14
0.53,0.79,0.67,0.63,17
0.01,0.79,0.67,0.63,14
0.11,0.79,0.67,0.63,14
0.73,0.79,0.68,0.64,17
0.58,0.79,0.67,0.63,17
0.54,0.79,0.67,0.63,17
0.54,0.79,0.69,0.64,17
0.15,0.79,0.69,0.64,14
0.35,0.79,0.69,0.64,14
0.5,0.79,0.68,0.64,14
0.42,0.79,0.68,0.64,14
0.24,0.79,0.69,0.63,14
0.47,0.78,0.67,0.64,14
0.12,0.79,0.67,0.64,14
0.34,0.79,0.68,0.64,14
0.71,0.79,0.7,0.64,17
0.57,0.79,0.69,0.63,17
0.71,0.79,0.67,0.64,17
0.5,0.78,0.67,0.64,17
0.08,0.79,0.67,0.64,14
0.6,0.79,0.68,0.64,17
0.6,0.79,0.69,0.64,17
0.64,0.78,0.67,0.63,17
0.69,0.79,0.69,0.64,17
0.78,0.79,0.67,0.64,17
0.75,0.78,0.67,0.64,17
0.13,0.79,0.66,0.64,14
0.58,0.78,0.66,0.64,17
0.35,0.8,0.66,0.63,14
0.52,0.78,0.66,0.64,17
0.41,0.78,0.67,0.64,14
0.51,0.79,0.67,0.65,17
0.52,0.78,0.67,0.64,17
0.03,0.79,0.67,0.64,14
0.54,0.79,0.67,0.64,17
0.33,0.78,0.67,0.64,14
0.25,0.79,0.67,0.65,14
0.53,0.79,0.68,0.65,17
0.67,0.79,0.68,0.65,17
0.15,0.79,0.69,0.65,14
0.35,0.79,0.7,0.64,14
0.02,0.79,0.69,0.65,14
0.52,0.79,0.69,0.65,17
0.01,0.79,0.69,0.65,14
0.03,0.79,0.68,0.65,14
0.54,0.79,0.68,0.66,17
0.39,0.79,0.68,0.65,14
0.66,0.79,0.67,0.65,17
0.15,0.8,0.66,0.65,14
0.67,0.79,0.65,0.65,17
0.53,0.79,0.65,0.65,17
0.54,0.79,0.65,0.65,17
0.65,0.79,0.67,0.65,17
0.51,0.79,0.69,0.65,17
0.71,0.8,0.69,0.65,17
0.05,0.79,0.7,0.65,14
0.28,0.8,0.71,0.65,14
0.18,0.8,0.73,0.65,14
0.69,0.8,0.73,0.65,17
0.29,0.8,0.74,0.64,14
0.47,0.8,0.75,0.65,14
0.12,0.8,0.75,0.65,14
0.64,0.8,0.74,0.65,17
0.42,0.8,0.72,0.65,14
0.66,0.8,0.73,0.65,17
0.74,0.8,0.71,0.64,17
0.22,0.8,0.71,0.65,14
0.57,0.8,0.71,0.65,17
0.19,0.8,0.71,0.65,14
0.75,0.8,0.71,0.65,17
0.4,0.8,0.71,0.65,14
0.44,0.8,0.71,0.65,14
0.64,0.8,0.71,0.65,17
0.38,0.8,0.71,0.65,14
0.42,0.8,0.71,0.65,14
0.14,0.8,0.7,0.65,14
0.67,0.8,0.7,0.65,17
0.62,0.8,0.68,0.65,17
0.09,0.8,0.69,0.65,14
0.11,0.8,0.69,0.65,14
0.35,0.8,0.68,0.65,14
0.41,0.8,0.67,0.65,14
0.49,0.81,0.67,0.64,14
0.13,0.8,0.68,0.65,14
0.75,0.8,0.69,0.65,17
0.35,0.81,0.7,0.65,14
0.67,0.81,0.7,0.65,17
0.56,0.81,0.7,0.65,17
0.28,0.81,0.7,0.65,14
0.73,0.81,0.69,0.65,17
0.49,0.8,0.69,0.65,14
0.76,0.81,0.7,0.65,17
0.64,0.81,0.7,0.65,17
0.72,0.81,0.69,0.65,17
0.61,0.81,0.68,0.65,17
0.57,0.81,0.68,0.65,17
0.51,0.81,0.68,0.65,17
0.69,0.81,0.69,0.65,17
0.13,0.81,0.69,0.65,14
0.27,0.81,0.7,0.65,14
0.61,0.81,0.69,0.65,17
0.07,0.81,0.7,0.65,14
0.17,0.81,0.71,0.65,14
0.26,0.81,0.69,0.65,14
0.17,0.81,0.69,0.65,14
0.68,0.8,0.68,0.65,17
0.59,0.81,0.69,0.65,17
0.67,0.81,0.69,0.65,17
0.57,0.81,0.68,0.66,17
0.62,0.81,0.68,0.65,17
0.22,0.81,0.69,0.66,14
0.65,0.81,0.69,0.66,17
0.58,0.81,0.68,0.66,17
0.62,0.81,0.67,0.66,17
0.78,0.81,0.69,0.65,17
0.33,0.81,0.7,0.65,14
0.7,0.81,0.7,0.66,17
0.66,0.81,0.7,0.66,17
0.69,0.81,0.7,0.66,17
0.72,0.81,0.7,0.66,17
0.58,0.81,0.71,0.66,17
0.56,0.81,0.72,0.66,17
0.54,0.81,0.71,0.65,17
0.48,0.81,0.71,0.66,14
0.73,0.81,0.7,0.66,17
0.53,0.81,0.69,0.66,17
0.63,0.81,0.69,0.66,17
0.76,0.81,0.68,0.65,17
0.11,0.81,0.67,0.66,14
0.49,0.81,0.68,0.66,14
0.35,0.81,0.68,0.66,14
0.38,0.81,0.68,0.65,14
0.66,0.81,0.67,0.66,17
0,0.81,0.67,0.66,14
0.42,0.81,0.68,0.66,14
0.23,0.81,0.67,0.66,14
0.19,0.81,0.66,0.66,14
0.34,0.81,0.66,0.65,14
0.53,0.81,0.66,0.66,17
0.35,0.81,0.67,0.66,14
0.51,0.81,0.66,0.66,17
0.71,0.81,0.66,0.66,17
0.39,0.81,0.65,0.66,14
0.28,0.81,0.67,0.66,14
0.13,0.82,0.69,0.66,14
0.58,0.82,0.7,0.66,17
0.61,0.82,0.69,0.66,17
0.6,0.82,0.69,0.66,17
0.31,0.82,0.69,0.66,14
0.76,0.82,0.69,0.66,17
0.36,0.82,0.69,0.66,14
0.64,0.82,0.69,0.66,17
0.62,0.82,0.69,0.66,17
0.25,0.81,0.68,0.66,14
0.58,0.82,0.68,0.66,17
0.64,0.81,0.67,0.66,17
0.6,0.81,0.67,0.66,17
0.44,0.82,0.67,0.66,14
0.06,0.81,0.67,0.66,14
0.32,0.82,0.68,0.66,14
0.52,0.82,0.68,0.66,17
0.68,0.82,0.68,0.66,17
0.55,0.82,0.67,0.66,17
0.7,0.82,0.67,0.66,17
0.44,0.82,0.66,0.66,14
0.7,0.82,0.66,0.66,17
0.27,0.82,0.67,0.66,14
0.39,0.82,0.67,0.66,14
0.35,0.82,0.67,0.66,14
0.66,0.82,0.68,0.66,17
0.03,0.82,0.68,0.66,14
0.57,0.82,0.68,0.66,17
0.55,0.81,0.67,0.66,17
0.53,0.82,0.66,0.66,17
0.59,0.82,0.66,0.65,17
0.5,0.82,0.66,0.66,17
0.45,0.82,0.66,0.66,14
0.18,0.82,0.66,0.66,14
0.13,0.82,0.66,0.66,14
0.6,0.82,0.67,0.66,17
0.75,0.82,0.67,0.65,17
0.59,0.82,0.68,0.66,17
0.02,0.84,0.67,0.66,14
0.61,0.82,0.67,0.66,17
0.1,0.82,0.67,0.66,14
0.27,0.82,0.68,0.66,14
0.45,0.82,0.68,0.65,14
0.6,0.82,0.66,0.66,17
0.06,0.82,0.66,0.66,14
0.35,0.82,0.66,0.66,14
0.51,0.82,0.66,0.66,17
0.22,0.82,0.66,0.66,14
0.72,0.82,0.66,0.66,17
0.25,0.82,0.65,0.66,14
0.61,0.82,0.65,0.66,17
0.13,0.82,0.64,0.66,14
0.08,0.82,0.64,0.66,14
0.24,0.82,0.64,0.66,14
0.19,0.82,0.64,0.66,14
0.56,0.82,0.64,0.66,17
0.69,0.82,0.63,0.66,17
0.45,0.82,0.63,0.66,14
0.61,0.82,0.63,0.66,17
0.28,0.82,0.63,0.66,14
0.03,0.82,0.64,0.66,14
0.08,0.82,0.65,0.66,14
0.66,0.82,0.66,0.66,17
0.61,0.82,0.66,0.66,17
0.05,0.82,0.67,0.66,14
0.14,0.82,0.67,0.66,14
0.19,0.83,0.68,0.66,14
0.61,0.82,0.68,0.66,17
0.12,0.82,0.67,0.66,14
0.29,0.82,0.66,0.66,14
0.69,0.82,0.65,0.66,17
0.01,0.82,0.66,0.66,14
0.52,0.82,0.66,0.66,17
0.54,0.82,0.67,0.66,17
0.31,0.83,0.68,0.66,14
0.62,0.82,0.67,0.66,17
0.5,0.82,0.68,0.66,17
0.4,0.83,0.68,0.66,14
0.48,0.82,0.67,0.66,14
0.64,0.82,0.67,0.66,17
0.07,0.82,0.66,0.66,14
0.13,0.82,0.67,0.66,14
0.09,0.82,0.67,0.67,14
0.35,0.82,0.66,0.67,14
0.42,0.82,0.66,0.66,14
0.69,0.82,0.66,0.66,17
0.62,0.82,0.65,0.66,17
0.65,0.83,0.64,0.67,17
0.59,0.83,0.65,0.67,17
0.3,0.82,0.65,0.67,14
0.55,0.82,0.65,0.67,17
0.35,0.82,0.64,0.66,14
0.67,0.82,0.65,0.66,17
0.13,0.82,0.66,0.67,14
0.5,0.82,0.66,0.67,17
0.36,0.82,0.66,0.67,14
0.75,0.82,0.65,0.67,17
0.24,0.83,0.64,0.67,14
0.04,0.83,0.65,0.67,14
0.24,0.82,0.66,0.67,14
0.29,0.82,0.66,0.67,14
0.43,0.83,0.66,0.67,14
0.48,0.82,0.67,0.67,14
0.41,0.83,0.68,0.66,14
